Date,BID,ACB,MBB,HPG,HDB,FPT,SSI,BCM,BVH,STB,CTG,GAS,GVR,MSN,MWG,PLX,POW,SAB,SHB,SSB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
20/10/2023,"40,500.00","21,900.00","17,950.00","24,350.00","17,750.00","92,900.00","31,300.00","64,600","41,000.00","30,100.00","29,400.00","83,200.00","69,000","69,000","44,700","35,400.00","11,200.00","70,000","10,450.00","24,450.00","31,100.00","16,500.00","84,800","44,500","18,350","43,350","105,200","72,300.00","21,600.00","26,600.00"
19/10/2023,"40,200.00","21,800.00","17,650.00","23,700.00","17,500.00","92,000.00","30,100.00","63,000","40,200.00","29,000.00","28,600.00","81,900.00","66,400","66,400","43,000","35,000.00","11,050.00","68,300","10,300.00","24,600.00","30,650.00","16,150.00","84,500","42,500","18,250","43,200","105,100","71,400.00","21,450.00","26,400.00"
18/10/2023,"40,000.00","22,050.00","17,750.00","24,000.00","17,550.00","93,000.00","31,550.00","62,800","40,850.00","29,700.00","28,350.00","83,000.00","68,300","68,300","44,700","35,000.00","11,250.00","68,300","10,400.00","24,700.00","31,250.00","16,250.00","85,900","43,300","18,450","43,800","104,900","73,900.00","22,500.00","26,500.00"
17/10/2023,"41,300.00","22,450.00","18,100.00","24,800.00","17,550.00","93,100.00","31,450.00","64,200","41,550.00","30,000.00","28,600.00","85,200.00","71,000","71,000","46,300","36,000.00","11,250.00","69,900","10,600.00","24,750.00","31,750.00","16,500.00","85,900","44,500","18,650","44,000","102,900","74,800.00","22,700.00","27,000.00"
16/10/2023,"41,650.00","22,600.00","18,200.00","25,000.00","17,400.00","96,800.00","32,100.00","65,700","41,650.00","30,200.00","28,800.00","86,900.00","71,600","71,600","48,600","36,800.00","11,350.00","70,900","10,600.00","24,800.00","31,800.00","16,800.00","86,100","45,550","18,850","45,000","102,500","75,200.00","22,500.00","26,700.00"
13/10/2023,"42,500.00","22,650.00","18,450.00","25,750.00","17,600.00","96,100.00","33,550.00","66,700","42,300.00","31,500.00","29,300.00","85,800.00","72,700","72,700","49,500","36,700.00","11,400.00","70,100","10,800.00","24,800.00","32,200.00","17,250.00","86,600","46,900","19,350","46,100","103,800","75,800.00","21,950.00","27,350.00"
12/10/2023,"42,150.00","22,700.00","18,350.00","25,800.00","17,500.00","96,400.00","33,600.00","67,600","42,650.00","31,600.00","29,600.00","86,000.00","73,100","73,100","48,400","36,700.00","11,450.00","68,900","10,850.00","24,750.00","32,500.00","17,200.00","86,000","47,550","19,650","46,500","97,700","75,500.00","21,850.00","27,200.00"
11/10/2023,"42,000.00","22,700.00","18,500.00","26,200.00","17,600.00","97,000.00","34,000.00","68,300","42,600.00","31,750.00","29,500.00","86,000.00","73,800","73,800","49,300","36,900.00","11,500.00","68,000","10,900.00","24,750.00","32,600.00","16,750.00","86,500","47,400","19,600","45,450","97,600","74,400.00","21,800.00","27,000.00"
10/10/2023,"42,050.00","22,800.00","18,450.00","26,000.00","17,400.00","96,300.00","32,700.00","68,900","42,550.00","31,250.00","29,300.00","86,400.00","73,200","73,200","48,850","36,000.00","11,450.00","68,800","10,850.00","24,600.00","32,500.00","16,750.00","86,100","48,000","19,400","44,900","97,300","74,400.00","21,600.00","27,000.00"
9/10/2023,"41,950.00","22,500.00","18,300.00","25,500.00","17,050.00","95,600.00","33,200.00","68,900","42,200.00","31,200.00","29,150.00","86,600.00","73,500","73,500","47,950","35,700.00","11,200.00","68,800","10,750.00","24,550.00","32,100.00","16,850.00","84,600","47,000","18,950","45,200","97,100","73,700.00","21,400.00","27,050.00"
